OSD_ID,organism,title,gravity_cue,source_type,file_name,file_size,category,subcategory,rhythm_token,remote_url
OSD-595,Drosophila melanogaster,Artificial gravity partially protects space-induced neurological deficits in Drosophila melanogaster,artificial gravity,alsda,LSDS-42_Video Recording_Module11Chamber1.zip,1603110009,Video Recording,Raw Video Files,video,/geode-py/ws/studies/OSD-595/download?source=datamanager&file=LSDS-42_Video+Recording_Module11Chamber1.zip
OSD-595,Drosophila melanogaster,Artificial gravity partially protects space-induced neurological deficits in Drosophila melanogaster,artificial gravity,alsda,LSDS-42_Video Recording_Module10Chamber1.zip,1625131896,Video Recording,Raw Video Files,video,/geode-py/ws/studies/OSD-595/download?source=datamanager&file=LSDS-42_Video+Recording_Module10Chamber1.zip
OSD-595,Drosophila melanogaster,Artificial gravity partially protects space-induced neurological deficits in Drosophila melanogaster,artificial gravity,alsda,LSDS-42_Video Recording_Module09Chamber1.zip,1613142552,Video Recording,Raw Video Files,video,/geode-py/ws/studies/OSD-595/download?source=datamanager&file=LSDS-42_Video+Recording_Module09Chamber1.zip
OSD-595,Drosophila melanogaster,Artificial gravity partially protects space-induced neurological deficits in Drosophila melanogaster,artificial gravity,alsda,LSDS-42_Video Recording_Module08Chamber1.zip,1612822434,Video Recording,Raw Video Files,video,/geode-py/ws/studies/OSD-595/download?source=datamanager&file=LSDS-42_Video+Recording_Module08Chamber1.zip
OSD-595,Drosophila melanogaster,Artificial gravity partially protects space-induced neurological deficits in Drosophila melanogaster,artificial gravity,alsda,LSDS-42_Video Recording_Module07Chamber1.zip,1643821927,Video Recording,Raw Video Files,video,/geode-py/ws/studies/OSD-595/download?source=datamanager&file=LSDS-42_Video+Recording_Module07Chamber1.zip
OSD-595,Drosophila melanogaster,Artificial gravity partially protects space-induced neurological deficits in Drosophila melanogaster,artificial gravity,alsda,LSDS-42_Video Recording_Module06Chamber1.zip,1682482204,Video Recording,Raw Video Files,video,/geode-py/ws/studies/OSD-595/download?source=datamanager&file=LSDS-42_Video+Recording_Module06Chamber1.zip
OSD-595,Drosophila melanogaster,Artificial gravity partially protects space-induced neurological deficits in Drosophila melanogaster,artificial gravity,alsda,LSDS-42_Video Recording_Module05Chamber1.zip,1684224311,Video Recording,Raw Video Files,video,/geode-py/ws/studies/OSD-595/download?source=datamanager&file=LSDS-42_Video+Recording_Module05Chamber1.zip
OSD-595,Drosophila melanogaster,Artificial gravity partially protects space-induced neurological deficits in Drosophila melanogaster,artificial gravity,alsda,LSDS-42_Video Recording_Module04Chamber1.zip,1708243869,Video Recording,Raw Video Files,video,/geode-py/ws/studies/OSD-595/download?source=datamanager&file=LSDS-42_Video+Recording_Module04Chamber1.zip
OSD-595,Drosophila melanogaster,Artificial gravity partially protects space-induced neurological deficits in Drosophila melanogaster,artificial gravity,alsda,LSDS-42_Video Recording_Module03Chamber1.zip,1765774714,Video Recording,Raw Video Files,video,/geode-py/ws/studies/OSD-595/download?source=datamanager&file=LSDS-42_Video+Recording_Module03Chamber1.zip
OSD-595,Drosophila melanogaster,Artificial gravity partially protects space-induced neurological deficits in Drosophila melanogaster,artificial gravity,alsda,LSDS-42_Video Recording_Module02Chamber1.zip,1801569863,Video Recording,Raw Video Files,video,/geode-py/ws/studies/OSD-595/download?source=datamanager&file=LSDS-42_Video+Recording_Module02Chamber1.zip
